@Reference_String|AP -Point Manifold3D -P -2 -B 2 -I 0
@DATA|
0|0
1|4
2|18
3|0
4|0
5|11
6|9
7|18
8|0
9|18
10|21
11|0
12|0
13|2
14|18
15|0
16|0
17|9
18|0
19|0
20|18
21|4
22|18
23|18
24|9
25|11
26|18
27|13
28|5
29|11
30|9
31|9
32|7
33|17
34|11
35|1
36|7
37|13
38|3
39|1
40|16
41|13
42|17
43|1
44|2
45|11
46|17
47|1
48|19
49|9
50|7
51|7
52|17
53|14
54|15
55|2
56|16
57|2
58|5
59|7
60|2
61|4
62|17
63|15
64|1
65|8
66|17
67|8
68|14
69|1
70|10
71|21
72|20
73|9
74|9
75|2
76|7
77|13
78|5
79|2
80|3
81|13
82|4
83|13
84|2
85|4
86|17
87|15
88|3
89|6
90|13
91|6
92|2
93|1
94|2
95|21
96|3
97|3
98|5
99|2
100|15
101|15
102|11
103|1
104|17
105|1
106|21
107|2
108|2
109|1
110|6
111|16
112|20
113|1
114|1
115|7
116|12
117|4
118|21
119|7
120|5
121|6
122|19
123|13
124|6
125|17
126|19
127|7
128|12
129|6
130|11
131|14
132|17
133|8
134|3
135|17
136|5
137|6
138|7
139|20
140|6
141|13
142|3
143|19
144|6
145|20
146|1
147|15
148|17
149|16
150|19
151|14
152|12
153|7
154|10
155|7
156|4
157|2
158|12
159|15
160|8
161|5
162|19
163|8
164|8
165|19
166|6
167|8
168|8
169|2
170|11
171|10
172|10
173|10
174|15
175|7
176|7
177|17
178|8
179|7
180|16
181|17
182|3
183|11
184|3
185|21
186|2
187|16
188|14
189|13
190|3
191|8
192|21
193|9
194|2
195|17
196|20
197|20
198|7
199|16
200|9
201|4
202|19
203|15
204|1
205|13
206|16
207|15
208|10
209|15
210|7
211|11
212|3
213|12
214|17
215|13
216|7
217|15
218|2
219|19
220|14
221|8
222|1
223|13
224|5
225|5
226|11
227|19
228|15
229|6
230|5
231|5
232|14
233|8
234|11
235|10
236|9
237|10
238|8
239|6
240|17
241|3
242|21
243|7
244|21
245|19
246|4
247|5
248|8
249|21
250|10
251|12
252|19
253|8
254|15
255|19
256|7
257|17
258|13
259|3
260|3
261|6
262|6
263|4
264|16
265|5
266|16
267|19
268|9
269|17
270|3
271|5
272|5
273|20
274|6
275|5
276|14
277|2
278|15
279|9
280|5
281|2
282|15
283|13
284|3
285|21
286|12
287|21
288|21
289|17
290|5
291|3
292|19
293|1
294|8
295|8
296|2
297|13
298|7
299|8
300|2
301|17
302|17
303|14
304|16
305|7
306|6
307|21
308|8
309|15
310|14
311|6
312|1
313|7
314|11
315|6
316|5
317|7
318|7
319|21
320|16
321|15
322|15
323|7
324|8
325|5
326|1
327|16
328|16
329|14
330|9
331|19
332|6
333|19
334|15
335|2
336|21
337|10
338|7
339|21
340|7
341|15
342|13
343|6
344|17
345|12
346|20
347|5
348|9
349|20
350|7
351|11
352|9
353|18
354|14
355|7
356|7
357|19
358|3
359|16
360|8
361|13
362|9
363|9
364|10
365|8
366|19
367|6
368|2
369|9
370|16
371|2
372|15
373|15
374|21
375|11
376|9
377|17
378|15
379|21
380|17
381|11
382|2
383|2
384|1
385|10
386|13
387|16
388|16
389|4
390|14
391|3
392|8
393|11
394|5
395|5
396|21
397|7
398|6
399|2
400|2
401|21
402|14
403|2
404|12
405|19
406|19
407|19
408|5
409|15
410|14
411|11
412|8
413|6
414|6
415|11
416|6
417|6
418|9
419|13
420|7
421|13
422|8
423|8
424|5
425|19
426|3
427|5
428|11
429|13
430|13
431|6
432|2
433|11
434|5
435|17
436|5
437|17
438|14
439|17
440|16
441|5
442|17
443|21
444|13
445|9
446|7
447|13
448|12
449|7
450|19
451|1
452|15
453|13
454|6
455|5
456|10
457|3
458|15
459|15
460|8
461|15
462|15
463|5
464|15
465|19
466|15
467|19
468|10
469|12
470|9
471|16
472|12
473|14
474|1
475|4
476|3
477|9
478|2
479|12
480|16
481|4
482|13
483|10
484|7
485|2
486|6
487|4
488|17
489|17
490|2
491|9
492|2
493|20
494|4
495|1
496|6
497|8
498|15
499|2
500|7
501|2
502|15
503|9
504|5
505|20
506|7
507|20
508|21
509|20
510|21
511|7
512|20
513|5
514|20
515|20
516|20
517|20
518|5
519|21
520|7
521|2
522|5
523|20
524|21
525|21
526|5
527|21
528|21
529|5
530|15
531|16
532|20
533|20
534|7
535|21
536|20
537|16
538|5
539|20
